"SenderMapped","SenderOriginal","Day","Date","Time","Subject","DD","MM","YYYY","hh","mm","ss","Level2"
"ADean Acad","Associate Dean Academic IITBombay","Mon",2011-05-02,"23:38:26","[Student-notices] Academic Calendar for the Academic Year 2011-2012",2,5,2011,"23","38","26","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Tue",2011-08-16,"16:05:38","[Student-notices] Announcement of talk",16,8,2011,"16","05","38","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Wed",2011-08-03,"17:50:07","[Student-notices] NOTICE: Course registration exception form	printing",3,8,2011,"17","50","07","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Thu",2010-12-30,"13:19:42","[Student-notices] URGENT - Registration for Spring Semester	2010-2011",30,12,2010,"13","19","42","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Wed",2010-11-10,"15:55:08","[Student-notices] National Education Day - Thursday,	11 November 2010",10,11,2010,"15","55","08","Deans"
"ADean Acad","Associate Dean Academic","Fri",2015-08-28,"11:31:05","[Student-notices] [Fwd: URGENT: Request to circulate notice to our students, for TAship under T10KT project]",28,8,2015,"11","31","05","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Tue",2011-01-25,"23:01:51","[Student-notices] NOTICE: Academic Disciplinary Action - Community	Service",25,1,2011,"23","01","51","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Fri",2011-03-04,"17:22:27","[Student-notices] NOTICE: Suspension of Registration for non-submission of Plan Submission for Academic Disciplinary Action - Community Service",4,3,2011,"17","22","27","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Fri",2011-03-04,"17:34:24","[Student-notices] Friday Teaching (Instructional) Time Table to be followed on Monday, 18 April 2011",4,3,2011,"17","34","24","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Wed",2011-02-02,"18:50:37","[Student-notices] Student Mentor Coordinators for the next Academic	Year 2011-2012",2,2,2011,"18","50","37","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Fri",2011-04-08,"13:19:56","[Student-notices] URGENT AND IMPORTANT - Course Evaluation by Students - Spring Semester 2010-2011",8,4,2011,"13","19","56","Deans"
"ADean Acad","Associate Dean Academic","Mon",2011-09-19,"18:13:59","[Student-notices] Notice for Students - from IITB-Monash Academy: [Fwd: Prem Panicker workshop]",19,9,2011,"18","13","59","Deans"
"ADean Acad","Associate Dean Academic","Fri",2016-01-15,"16:12:56","[Student-notices] registration for TD 390/490/491 and ID 406/407",15,1,2016,"16","12","56","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Wed",2011-07-20,"23:19:19","[Student-notices] Registration for Autumn Semester 2011-2012",20,7,2011,"23","19","19","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Mon",2011-02-14,"23:04:28","[Student-notices] NOTICE: Plan Submission for Academic Disciplinary Action - Community Service",14,2,2011,"23","04","28","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Tue",2011-05-10,"15:35:11","[Student-notices] Institute Student Representatives of Masters' and Doctoral Programmes for Academic Year 2011-12",10,5,2011,"15","35","11","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Tue",2011-01-18,"22:41:18","[Student-notices] A note regarding Course Registration - for all	students",18,1,2011,"22","41","18","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Wed",2010-11-10,"21:50:50","[Student-notices] Change in Programme timing - National Education Day - Thursday, 11 November 2010",10,11,2010,"21","50","50","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Mon",2011-03-28,"17:46:24","[Student-notices] Call for Nomination: Institute Student Companion Programme , Over All Coordinators",28,3,2011,"17","46","24","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Wed",2011-01-12,"23:13:54","[Student-notices] Dual Degree and Masters' Dissertations (Project) - Allotment and Schedule",12,1,2011,"23","13","54","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Thu",2011-07-28,"16:42:14","[Student-notices] TA orientation for Dual Degree students & remaining new postgraduate students",28,7,2011,"16","42","14","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Wed",2011-04-06,"20:15:05","[Student-notices] Reminder: Friday Teaching (Instructional) Time Table to be followed on Monday, 18 April 2011",6,4,2011,"20","15","05","Deans"
"ADean Acad","Associate Dean Academic","Tue",2016-04-12,"21:57:49","[Student-notices] [Fwd: Request to circulate notice to all students, for TAship under IITBombayX]",12,4,2016,"21","57","49","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Mon",2011-05-02,"18:06:52","[Student-notices] Notice for Final Year B. Tech. Students (B. Tech. Students admitted in July 2007)",2,5,2011,"18","06","52","Deans"
"ADean Acad","Associate Dean Academic","Thu",2016-01-07,"11:46:02","[Student-notices] [Fwd: Request to organize interactive session with students and faculty members of IITB on 23 January 2016]",7,1,2016,"11","46","02","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Fri",2011-04-08,"16:56:21","[Student-notices] Compulsory attendance for students from the beginning of the semester",8,4,2011,"16","56","21","Deans"
"ADean Acad","Associate Dean Academic","Mon",2011-10-10,"15:40:12","[Student-notices] Notice from National Service Scheme (NSS),	IIT Bombay",10,10,2011,"15","40","12","Deans"
"ADean Acad","Associate Dean Academic","Tue",2016-04-12,"16:47:51","[Student-notices] [Fwd: Call for Applications: RAMAN-CHARPAK PhD FELLOWSHIP is open for 2016 !]",12,4,2016,"16","47","51","Deans"
"ADean Acad","Associate Dean Academic IITBombay","Thu",2010-11-11,"19:59:18","[Student-notices] Appeal from a student about loss of his wallet",11,11,2010,"19","59","18","Deans"
"ADean Acad","Associate Dean Academic","Thu",2015-02-19,"16:17:44","[Student-notices] Mid-Semester Examination",19,2,2015,"16","17","44","Deans"
