SenderOriginal,SenderMapped,Day,Date,Time,Year,Subject
STAB Overall Coordinator,GS Tech,Sat,30-Apr,22:58:37,2016,[Student-notices] [WnCC] [Tomorrow] [H14] Introduction to Linux / Dual Booting Workshop in H14 TV Room
STAB Overall Coordinator,GS Tech,Sat,30-Apr,22:53:07,2016,[Student-notices] [WnCC] [ITSP Bootcamp] [Tomorrow] Dual Booting Camp and Introduction to Git in H16 Mess
GS Sports,GS Sports,Sat,30-Apr,16:52:09,2016,"[Student-notices] [Reminder] Wildlife trek and Jeep Safari || 4th	July to 9th July"
GS Sports,GS Sports,Sat,30-Apr,13:28:02,2016,"[Student-notices] Awards ceremony || Swimathon 2016,	Open Triathlon 2016, Water polo GC"
GS Sports,GS Sports,Fri,29-Apr,22:12:30,2016,[Student-notices] Freshiesta || 30th April
General Secretary Academic Affairs  PG,GSAA PG,Fri,29-Apr,21:58:08,2016,[Student-notices] Inviting Volunteer for Nukkad Natak and Portal for Rasing grievances.
Office Dean Rnd,Dean R&D,Fri,29-Apr,18:18:59,2016,[Student-notices] Assessment of your project work for possible protection of Intellectual Property
GS Sports,GS Sports,Fri,29-Apr,16:07:34,2016,"[Student-notices] Awards ceremony || Swimathon 2016,	Open Triathlon 2016 & Water polo GC"
GS Sports,GS Sports,Fri,29-Apr,14:42:21,2016,[Student-notices] Booking of Badminton courts
Associate Dean (Student Affairs),ADean SA,Fri,29-Apr,9:51:13,2016,[Student-notices] Room retention in summers
Dean Student Affairs,Dean SA,Thu,28-Apr,15:48:14,2016,[Student-notices] Link for the Financial Aid Program of IITBAA
Dean Student Affairs,Dean SA,Thu,28-Apr,15:45:38,2016,[Student-notices] Student feedback for Institute Vision and Mission
ANKIT KUMAR SRIVASTAVA,Other,Thu,28-Apr,14:36:52,2016,[Student-notices] AB+ve Blood Group Required
Librarian IIT Bombay,Librarian,Thu,28-Apr,14:04:01,2016,"[Student-notices] Access restored for IP 103.21.127.60 to ACS	publications"
Office Dean ACR,Dean ACR,Thu,28-Apr,11:05:49,2016,"[Student-notices] Invitation to Institute Valedictory Function	Today @ 5:15 PM"
"Professor-In-Charge, Placement",PIC Placements,Thu,28-Apr,9:09:32,2016,"[Student-notices] Students feedback regarding placement season	2015-16"
"General Secretary, Cultural Affairs",GS Cult,Thu,28-Apr,2:37:54,2016,"[Student-notices] Registrations: Summer Film Project | Deadline:	4th May"
GS Sports,GS Sports,Wed,27-Apr,23:06:32,2016,[Student-notices] Slackline Workshop || 1st May
GS Sports,GS Sports,Wed,27-Apr,22:05:48,2016,"[Student-notices] Wildlife trek and Jeep Safari || 4th July to 9th	July"
Executive Electrical,Executive Electrical,Wed,27-Apr,17:39:56,2016,"[Student-notices] REMINDER- POWER SHUTDOWN NOTICE OF LECTURE HALL COMPLEX-L-1, L-2, L-3]"
General Secretary Academic Affairs  PG,GSAA PG,Wed,27-Apr,13:36:56,2016,[Student-notices] Application invited for the post of RSF- Dr. (Department Representative)
General Secretary Academic Affairs  PG,GSAA PG,Wed,27-Apr,13:35:02,2016,"[Student-notices] Stanford Reliance Dhirubhai Fellowship for Indian	citizens"
Associate Dean (Student Affairs),ADean SA,Wed,27-Apr,11:20:11,2016,[Student-notices] Room retention in summers
Executive Electrical,Executive Electrical,Wed,27-Apr,10:55:25,2016,[Student-notices] Power Shut down notice (VMCC Entire building)
Head BSBE,Head BSBE,Tue,26-Apr,21:28:16,2016,[Student-notices] Opening of RIFC confocal facility at BSBE
General Secretary Academic Affairs  PG,GSAA PG,Tue,26-Apr,18:28:07,2016,[Student-notices] Instutite Validictory Function: Tell me abut your life and times at IITB
General Secretary Academic Affairs  PG,GSAA PG,Tue,26-Apr,17:08:31,2016,[Student-notices] Gentle Reminder : Inviting Concerns of Differently-abled students in our Campus
GS Sports,GS Sports,Tue,26-Apr,0:22:01,2016,[Student-notices] Trek & Camping at Sandhan Valley || 29-30 April
STAB Overall Coordinator,GS Tech,Mon,25-Apr,22:48:35,2016,"[Student-notices] IEEE Paper Contest and Website Competition [Call	for Participation]"
Office Dean ACR,Dean ACR,Mon,25-Apr,17:20:13,2016,"[Student-notices] Invitation for Institute Valedictory Function on 28th April 2016 at 5.00 pm, VMCC Main Auditorium"
Security Officer,CSO,Mon,25-Apr,11:38:53,2016,[Student-notices] Lost & Found - Ladies Wrist Watch
Dean Student Affairs,Dean SA,Mon,25-Apr,10:20:00,2016,"[Student-notices] Financial Aid Program at IIT Bombay from IITB	Alumni Association"
General Secretary Hostel Affairs,GSHA,Sun,24-Apr,22:00:39,2016,"[Student-notices] Luggage shifting and room vacating of first year	students"
General Secretary Academic Affairs  PG,GSAA PG,Sun,24-Apr,17:41:24,2016,[Student-notices] Inviting Suggestions for Events / sessions to be done by PG Academic Council 2016-17
GS Sports,GS Sports,Sun,24-Apr,1:43:59,2016,"[Student-notices] Summer School of Sports || Registrations starts	today"
GS Sports,GS Sports,Sun,24-Apr,0:49:20,2016,[Student-notices] Maintenance of Hockey field
STAB Overall Coordinator,GS Tech,Sat,23-Apr,19:18:19,2016,[Student-notices] NCETIS Summer Internship - Robots that save lives
STAB Overall Coordinator,GS Tech,Sat,23-Apr,18:13:11,2016,[Student-notices] NCETIS Summer Internship - Robots that save lives
