Original Sender,Category
Associate Dean Academic IITBombay,ADean Acad
Associate Dean Academic,ADean Acad
adean.ap at iitb.ac.in,ADean AP
adean2.ips at iitb.ac.in,ADean IPS
Associate Dean (Res. & Dvpt.),ADean R&D
Associate Dean Research and Development,ADean R&D
Associate Dean (Student Affairs),ADean SA
Chief Security Officer,CSO
Chief Vigilance Officer,CVO
CVO IIT Bombay,CVO
Deputy Director AIA,DDirector AIA
Deputy Director AIA Office,DDirector AIA
Deputy Director FEA Office,DDirector FEA
Deputy Director FEA,DDirector FEA
Office Dean Academic,Dean Acad
Dean Academic IITB,Dean Acad
Office Dean ACR,Dean ACR
dean.acr.office at iitb.ac.in,Dean ACR
Dean (Alumni & Corporate Relations),Dean ACR
Dean Alumni & Corporate Relations,Dean ACR
"Dean, Alumni & Corporate Relations",Dean ACR
Office of Dean ACR,Dean ACR
Office of Dean AP,Dean AP
"Dean, Academic Programmes, IIT Bombay",Dean AP
Dean AP IIT Bombay,Dean AP
dean.ap at iitb.ac.in,Dean AP
Dean Infrastructure Planning & Support,Dean IPS
Office Dean Planning,Dean IPS
Office of Dean International Relations,Dean IR
dean.ir.office at iitb.ac.in,Dean IR
Office of Dean - International Relations,Dean IR
Dean (IR),Dean IR
Dean (International Relations),Dean IR
Dean IR Dean IR,Dean IR
Office Dean Rnd,Dean R&D
Dean (R&D) IITB,Dean R&D
dean.rnd,Dean R&D
"Dean (R&D), IIT BOMBAY",Dean R&D
Dean R & D IIT,Dean R&D
Dean Research and Development IIT Bombay,Dean R&D
"P M Mujumdar, Dean (R&D)",Dean R&D
Office Dean SA,Dean SA
Dean Students Affairs,Dean SA
Dean Student Affairs,Dean SA
dean.sa at iitb.ac.in,Dean SA
dean.sa.office at iitb.ac.in,Dean SA
Director IIT Bombay,Director
"Director, IIT Bombay",Director
Deputy Registrar Academic,DRegistrar
Executive Engineer  & Secretary-AAC,Executive AAC
Executive Engr Civil,Executive Civil
Executive Electrical,Executive Electrical
Executive  Engr Elect,Executive Electrical
exengr.elect at iitb.ac.in,Executive Electrical
Executive Engr. ( Electrical),Executive Electrical
Executive Engineer ( Electrical ),Executive Electrical
Exec.Engr.(Electrical),Executive Electrical
Executive Engineer  ( Electrical),Executive Electrical
Executive Engineer (Electrical),Executive Electrical
Executive Engineer(Electrical),Executive Electrical
exengr.elect,Executive Electrical
"General Secretary, Cultural Affairs",GS Cult
gseccult at iitb.ac.in,GS Cult
GS Sports,GS Sports
G.S. Sports,GS Sports
gsecsport at iitb.ac.in,GS Sports
"G S Sports, IIT Bombay",GS Sports
STAB Overall Coordinator,GS Tech
"G.Sec., UG Academic Affairs",GSAA
General Secretary Academic Affairs UG,GSAA
GS Academics (UG),GSAA
G.Sec Academic Affairs(UG),GSAA
General Secretary Academic Affairs,GSAA
Gen. Sec. Academic Affairs  (UG),GSAA
"General Secretary, Academic Affairs",GSAA
"General Secretary, Academic Affairs (UG)",GSAA
gsecaaug at iitb.ac.in,GSAA
